Title,Status,Assignees,Labels,Description
"Escolher provedor de API para WhatsApp (Cloud API, Evolution API, etc.)",To do,,Integração,
Configurar credenciais e autenticação para API WhatsApp,To do,,Integração,
Testar envio de mensagem simples via API,To do,,Integração,
Criar interface de modelos de mensagens,To do,,Mensagens,
"Implementar variáveis dinâmicas nas mensagens ({nome_cliente}, {valor_parcela}, etc.)",To do,,Mensagens,
Salvar templates de mensagens no banco,To do,,Mensagens,
Criar sistema de agendamento de mensagens com CRON,To do,,Automação,
Enviar alertas automáticos antes e após vencimento de parcelas,To do,,Automação,
Gerar log de mensagens enviadas com data e status,To do,,Automação,
Criar interface para envio manual em massa,To do,,Envio Manual,
"Filtrar cobranças por status, valor e data",To do,,Envio Manual,
Mostrar prévia das mensagens antes do envio,To do,,Envio Manual,
Criar dashboard com taxa de abertura e resposta,To do,,Analytics,
Exibir conversão de mensagens em pagamentos,To do,,Analytics,
Calcular juros e multa por atraso em parcelas comuns,To do,,Atrasos,
Atualizar valor devido automaticamente com base no atraso,To do,,Atrasos,
Renegociar parcelas vencidas com novas condições,To do,,Atrasos,
Oferecer desconto proporcional por pagamento antecipado,To do,,Adiantamento,
Recalcular parcelas futuras após adiantamento,To do,,Adiantamento,
Simular reparcelamento incorporando parcelas vencidas,To do,,Reparcelamento,
Gerar propostas de recuperação automática,To do,,Reparcelamento,
Criar painel de fluxo de caixa considerando inadimplência,To do,,Financeiro,
Projetar impacto de adiantamentos e atrasos na receita,To do,,Financeiro,
