Title,List Name
"Escolher provedor de API (WhatsApp Cloud API, Evolution API, etc.)",Integração WhatsApp
Criar painel de configuração de credenciais,Integração WhatsApp
Validar números de telefone e tokens,Integração WhatsApp
Testar envio de mensagem via API com cURL ou SDK,Integração WhatsApp
Criar interface de templates (com campos dinâmicos),Editor de Modelos de Mensagens
"Permitir variáveis: {nome_cliente}, {data_vencimento}, {valor_parcela}, etc.",Editor de Modelos de Mensagens
"Salvar mensagens no banco de dados por tipo: lembrete, atraso, quitação etc.",Editor de Modelos de Mensagens
Criar agendamento via CRON (ou similar),Disparo Automatizado
"Lógica de envio automático: antes, no dia, e após o vencimento",Disparo Automatizado
Permitir personalização de frequência e horário,Disparo Automatizado
"Criar log com status de envio, erro, entrega",Disparo Automatizado
"Interface com múltiplos filtros: data, status, valor, cliente, credor",Disparo Manual
Botão 'Enviar em Massa',Disparo Manual
Pré-visualização de mensagens,Disparo Manual
Feedback de progresso e relatório final,Disparo Manual
Dashboard com estatísticas de envio,Analytics e Monitoramento
Relatório de resposta e conversão,Analytics e Monitoramento
Horários com melhor taxa de entrega,Analytics e Monitoramento
"Módulo de alertas (ex: falha de envio, número inválido)",Analytics e Monitoramento
Cálculo automático de juros diários (configurável),Parcelado Comum - Atraso
Aplicação de multa percentual,Parcelado Comum - Atraso
Atualização do valor da parcela vencida,Parcelado Comum - Atraso
Notificação automática de atraso,Parcelado Comum - Atraso
Opção de renegociar valores e prazos,Parcelado Comum - Atraso
Aplicação de desconto proporcional por antecipação,Parcelado Comum - Adiantado
Suporte a quitação total com desconto progressivo,Parcelado Comum - Adiantado
Recalcular próximas parcelas após adiantamento,Parcelado Comum - Adiantado
Emitir recibo ou comprovante diferenciado,Parcelado Comum - Adiantado
Capitalização dos juros do atraso no saldo devedor,Reparcelado - Atraso
Opção de reparcelamento de parcelas vencidas,Reparcelado - Atraso
Geração de proposta automática para regularização,Reparcelado - Atraso
Alerta antes de negativar ou bloquear cliente,Reparcelado - Atraso
Recalcular juros totais com base na antecipação,Reparcelado - Adiantado
Opção de reduzir número de parcelas ou valor delas,Reparcelado - Adiantado
Simulador comparativo (antes e depois do adiantamento),Reparcelado - Adiantado
Relatório de economia gerada pelo cliente,Reparcelado - Adiantado
Tela de configuração de regras de atraso/adiantamento,Funcionalidades Comuns
Módulo de exceções com aprovação manual (workflow),Funcionalidades Comuns
Histórico completo de alterações (log de parcelas),Funcionalidades Comuns
Geração de documentos formais para alterações contratuais,Funcionalidades Comuns
Dashboard com indicadores de valores em atraso/adiantado,Gestão e Fluxo de Caixa
Projeção com base no comportamento da carteira,Gestão e Fluxo de Caixa
Alertas para concentração de inadimplência,Gestão e Fluxo de Caixa
Sugerir descontos por adiantamento em períodos críticos,Gestão e Fluxo de Caixa
Indicador de saúde da carteira (% adimplente/inadimplente),Gestão e Fluxo de Caixa
